PRODUKT_CODE,STATION_ID,ZEITSTEMPEL,WERT,,,,,,,,
TT_TU_MN009,662,201701160700.00,-4.8,,,,,,,,
TT_TU_MN009,662,201701160800.00,-4.7,,,,,,,,
TT_TU_MN009,662,201701160900.00,-4.4,,,,,,,,
TT_TU_MN009,662,201701161000.00,-3.8,,,,,,,,
TT_TU_MN009,662,201701161100.00,-3.3,,,,,,,,
TT_TU_MN009,662,201701161200.00,-2.6,,,,,,,,
TT_TU_MN009,662,201701161300.00,-2.2,,,,,,,,
TT_TU_MN009,662,201701161400.00,-2.5,,,,,,,,
TT_TU_MN009,662,201701161500.00,-2.4,,,,,,,,
TT_TU_MN009,662,201701161600.00,-2.3,,,,,,,,
TT_TU_MN009,662,201701161700.00,-2.1,,,,,,,,
TT_TU_MN009,662,201701161800.00,-2.3,,,,,,,,
TT_TU_MN009,662,201701161900.00,-2.4,,,,,,,,
TT_TU_MN009,662,201701162000.00,-2.6,,,,,,,,
TT_TU_MN009,662,201701162100.00,-3.2,,,,,,,,
TT_TU_MN009,662,201701162200.00,-3.2,,,,,,,,
TT_TU_MN009,662,201701162300.00,-3.6,,,,,,,,
TT_TU_MN009,662,201701170000.00,-4,,,,,,,,
TT_TU_MN009,662,201701170100.00,-4.3,,,,,,,,
TT_TU_MN009,662,201701170200.00,-4.2,,,,,,,,
TT_TU_MN009,662,201701170300.00,-4,,,,,,,,
TT_TU_MN009,662,201701170400.00,-3.7,,,,,,,,
TT_TU_MN009,662,201701170500.00,-3.7,,,,,,,,
TT_TU_MN009,662,201701170600.00,-3.9,,,,,,,,
TT_TU_MN009,662,201701170700.00,-3.9,,,,,,,,
TT_TU_MN009,662,201701170800.00,-3.8,,,,,,,,
TT_TU_MN009,662,201701170900.00,-3.9,,,,,,,,
TT_TU_MN009,662,201701171000.00,-3.9,,,,,,,,
TT_TU_MN009,662,201701171100.00,-3.8,,,,,,,,
TT_TU_MN009,662,201701171200.00,-3.3,,,,,,,,
TT_TU_MN009,662,201701171300.00,-3.1,,,,,,,,
TT_TU_MN009,662,201701171400.00,-2.6,,,,,,,,
TT_TU_MN009,662,201701171500.00,-2.7,,,,,,,,
TT_TU_MN009,662,201701171600.00,-2.7,,,,,,,,
TT_TU_MN009,662,201701171700.00,-2.7,,,,,,,,
TT_TU_MN009,662,201701171800.00,-2.7,,,,,,,,
TT_TU_MN009,662,201701171900.00,-2.9,,,,,,,,
TT_TU_MN009,662,201701172000.00,-3.3,,,,,,,,
TT_TU_MN009,662,201701172100.00,-3.7,,,,,,,,
TT_TU_MN009,662,201701172200.00,-3.8,,,,,,,,
TT_TU_MN009,662,201701172300.00,-3.8,,,,,,,,
TT_TU_MN009,662,201701180000.00,-4,,,,,,,,
TT_TU_MN009,662,201701180100.00,-4.7,,,,,,,,
TT_TU_MN009,662,201701180200.00,-5,,,,,,,,
TT_TU_MN009,662,201701180300.00,-5.5,,,,,,,,
TT_TU_MN009,662,201701180400.00,-5.5,,,,,,,,
TT_TU_MN009,662,201701180500.00,-5.4,,,,,,,,
TT_TU_MN009,662,201701180600.00,-5.4,,,,,,,,
TT_TU_MN009,662,201701180700.00,-4.9,,,,,,,,
TT_TU_MN009,662,201701180800.00,-4.9,,,,,,,,
TT_TU_MN009,662,201701180900.00,-4.8,,,,,,,,
TT_TU_MN009,662,201701181000.00,-4.4,,,,,,,,
TT_TU_MN009,662,201701181100.00,-3.9,,,,,,,,
TT_TU_MN009,662,201701181200.00,-3.5,,,,,,,,
TT_TU_MN009,662,201701181300.00,-2.8,,,,,,,,
TT_TU_MN009,662,201701181400.00,-2.6,,,,,,,,
TT_TU_MN009,662,201701181500.00,-2.6,,,,,,,,
TT_TU_MN009,662,201701181600.00,-2.8,,,,,,,,
TT_TU_MN009,662,201701181700.00,-3,,,,,,,,
TT_TU_MN009,662,201701181800.00,-3.6,,,,,,,,
TT_TU_MN009,662,201701181900.00,-4.6,,,,,,,,
TT_TU_MN009,662,201701182000.00,-4.1,,,,,,,,
TT_TU_MN009,662,201701182100.00,-3.7,,,,,,,,
TT_TU_MN009,662,201701182200.00,-3.9,,,,,,,,
TT_TU_MN009,662,201701182300.00,-4.1,,,,,,,,
TT_TU_MN009,662,201701190000.00,-4.4,,,,,,,,
TT_TU_MN009,662,201701190100.00,-4.9,,,,,,,,
TT_TU_MN009,662,201701190200.00,-5.4,,,,,,,,
TT_TU_MN009,662,201701190300.00,-5,,,,,,,,
TT_TU_MN009,662,201701190400.00,-5.1,,,,,,,,
TT_TU_MN009,662,201701190500.00,-5,,,,,,,,
TT_TU_MN009,662,201701190600.00,-4.7,,,,,,,,
TT_TU_MN009,662,201701190700.00,-4.4,,,,,,,,
